name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'P0060_0126';0.000000;2.036184e-02;-2.433086e+01;3.462243e+01;4.285162e-02;8.304696e-03;5.618348e-04;2.210546e+01;3.165014e+01;1.602044e+01;1.208460e+00;0;0;0;0;0;0;5.276573e+02;1.345549e+03;-201;1.536969e+03;-201;2.478976e+03;-201
'P0060_0126';0.010000;2.057286e-02;-2.446983e+01;3.509180e+01;4.938428e-02;6.095942e-03;1.043953e-03;2.284710e+01;3.177578e+01;1.623922e+01;-1.172485e+00;0;0;0;0;0;0;5.156305e+02;1.377800e+03;-201;1.455432e+03;-201;2.377744e+03;-201
'P0060_0126';0.020000;2.007989e-02;-2.433565e+01;3.525874e+01;4.877855e-02;6.671694e-03;1.500991e-03;2.301157e+01;3.175979e+01;1.445636e+01;-1.429450e+00;0;0;0;0;0;0;5.021826e+02;1.346801e+03;-201;1.412495e+03;-201;2.316753e+03;-201
'P0060_0126';0.030000;2.040999e-02;-2.310624e+01;3.252362e+01;4.329519e-02;7.322365e-03;1.357512e-03;2.206828e+01;3.050958e+01;1.555222e+01;-8.128211e-01;0;0;0;0;0;0;3.909921e+02;1.283572e+03;-201;1.307182e+03;-201;2.249143e+03;-201
'P0060_0126';0.040000;1.950149e-02;-2.217966e+01;3.110480e+01;3.200860e-02;6.171179e-03;1.262770e-03;2.062078e+01;3.005057e+01;1.556577e+01;1.602415e+00;0;0;0;0;0;0;4.746263e+02;1.317717e+03;-201;1.450719e+03;-201;2.374399e+03;-201
'P0060_0126';0.050000;1.955852e-02;-2.072501e+01;2.942536e+01;3.009919e-02;8.119355e-03;1.029436e-03;1.854090e+01;2.797218e+01;1.925380e+01;3.744635e+00;0;0;0;0;0;0;5.014668e+02;1.429981e+03;-201;1.550064e+03;-201;2.463814e+03;-201
'P0060_0126';0.060000;1.984833e-02;-1.939145e+01;2.857170e+01;2.878908e-02;1.281188e-02;8.882624e-04;1.695676e+01;2.657678e+01;1.985843e+01;7.016044e+00;0;0;0;0;0;0;5.684692e+02;1.596876e+03;-201;1.611778e+03;-201;2.544539e+03;-201
'P0060_0126';0.070000;2.021284e-02;-1.836296e+01;2.792836e+01;3.221962e-02;2.163733e-02;9.627294e-04;1.519393e+01;2.654983e+01;2.140375e+01;9.953601e+00;0;0;0;0;0;0;4.914097e+02;1.561542e+03;-201;1.568582e+03;-201;2.545981e+03;-201
'P0060_0126';0.080000;2.048541e-02;-1.762645e+01;2.675249e+01;2.877692e-02;1.763342e-02;1.049646e-03;1.432547e+01;2.739856e+01;2.155518e+01;9.354363e+00;0;0;0;0;0;0;4.706513e+02;1.637322e+03;-201;1.535616e+03;-201;2.529719e+03;-201
'P0060_0126';0.090000;1.977345e-02;-1.591824e+01;2.477454e+01;2.041998e-02;1.966224e-02;1.412503e-03;1.166909e+01;2.575846e+01;2.115679e+01;1.041870e+01;0;0;0;0;0;0;5.825361e+02;1.523187e+03;-201;1.577041e+03;-201;2.528351e+03;-201
'P0060_0126';0.100000;1.960655e-02;-1.300141e+01;2.142744e+01;1.701037e-02;1.249604e-02;1.262881e-03;9.400365e+00;2.220072e+01;1.946132e+01;4.298100e+00;0;0;0;0;0;0;6.810513e+02;1.783500e+03;-201;1.597425e+03;-201;2.515065e+03;-201
'P0060_0126';0.110000;1.921857e-02;-1.100478e+01;1.976789e+01;1.984515e-02;1.827083e-02;1.169248e-03;6.735384e+00;1.976315e+01;1.782632e+01;3.629668e+00;0;0;0;0;0;0;8.565799e+02;1.582328e+03;-201;1.709841e+03;-201;2.542240e+03;-201
'P0060_0126';0.120000;1.915612e-02;-9.279471e+00;1.785906e+01;1.372537e-02;2.586456e-02;8.048454e-04;5.608406e+00;1.703027e+01;1.712047e+01;5.201417e+00;0;0;0;0;0;0;8.519882e+02;1.411013e+03;-201;1.753635e+03;-201;2.602311e+03;-201
'P0060_0126';0.130000;1.925864e-02;-8.265287e+00;1.737621e+01;1.814528e-02;3.511262e-02;7.397404e-04;4.846584e+00;1.534086e+01;1.682298e+01;8.431096e+00;0;0;0;0;0;0;9.329245e+02;1.042376e+03;-201;1.833969e+03;-201;2.636461e+03;-201
'P0060_0126';0.140000;1.947564e-02;-7.332342e+00;1.671199e+01;1.788095e-02;3.225454e-02;7.904772e-04;5.480721e+00;1.316238e+01;1.694463e+01;7.155548e+00;0;0;0;0;0;0;9.116586e+02;1.105172e+03;-201;1.781756e+03;-201;2.666209e+03;-201
'P0060_0126';0.150000;1.990484e-02;-8.114906e+00;1.746347e+01;3.079166e-02;2.204054e-02;7.524583e-04;6.214654e+00;1.522439e+01;2.010460e+01;3.348451e+00;0;0;0;0;0;0;7.164168e+02;1.328716e+03;-201;1.599827e+03;-201;2.438315e+03;-201
'P0060_0126';0.160000;1.993812e-02;-9.001835e+00;1.712356e+01;2.229504e-02;1.871415e-02;8.809489e-04;7.206126e+00;1.577906e+01;2.065578e+01;2.190162e+00;0;0;0;0;0;0;7.062093e+02;1.406586e+03;-201;1.569701e+03;-201;2.459094e+03;-201
'P0060_0126';0.170000;2.067717e-02;-1.006680e+01;1.775474e+01;3.187710e-02;2.071598e-02;1.346779e-03;9.239547e+00;1.750118e+01;1.729888e+01;4.481052e-01;0;0;0;0;0;0;7.809406e+02;1.505619e+03;-201;1.645964e+03;-201;2.510894e+03;-201
'P0060_0126';0.180000;2.209113e-02;-1.137477e+01;1.893807e+01;2.571007e-02;2.101376e-02;1.865848e-03;1.181432e+01;1.871213e+01;1.633745e+01;-3.030934e+00;0;0;0;0;0;0;9.562718e+02;1.444400e+03;-201;1.825742e+03;-201;2.711101e+03;-201
'P0060_0126';0.190000;2.337267e-02;-1.266557e+01;2.136611e+01;3.005676e-02;1.610682e-02;2.007236e-03;1.413845e+01;1.957681e+01;1.413038e+01;-6.193914e+00;0;0;0;0;0;0;9.313849e+02;1.478372e+03;-201;1.799376e+03;-201;2.700085e+03;-201
'P0060_0126';0.200000;2.401380e-02;-1.261118e+01;2.130682e+01;2.257298e-02;1.502915e-02;1.640014e-03;1.475164e+01;1.903263e+01;1.510117e+01;-8.503963e+00;0;0;0;0;0;0;8.439368e+02;1.400856e+03;-201;1.701511e+03;-201;2.651432e+03;-201
'P0060_0126';0.210000;2.329324e-02;-1.073818e+01;1.846199e+01;2.450306e-02;1.832306e-02;1.472415e-03;1.398606e+01;1.592372e+01;1.233478e+01;-1.003110e+01;0;0;0;0;0;0;8.570312e+02;1.500390e+03;-201;1.617582e+03;-201;2.629785e+03;-201
'P0060_0126';0.220000;2.261841e-02;-1.084935e+01;1.657285e+01;1.883077e-02;2.277320e-02;1.557820e-03;1.354247e+01;1.603770e+01;1.528919e+01;-9.019151e+00;0;0;0;0;0;0;8.594258e+02;1.433442e+03;-201;1.662901e+03;-201;2.626337e+03;-201
'P0060_0126';0.230000;2.229586e-02;-1.094295e+01;1.777938e+01;1.343185e-02;2.573066e-02;1.577927e-03;1.333285e+01;1.476840e+01;1.363179e+01;-5.894740e+00;0;0;0;0;0;0;8.763970e+02;1.383723e+03;-201;1.678273e+03;-201;2.592886e+03;-201
'P0060_0126';0.240000;2.223087e-02;-1.249983e+01;2.006577e+01;1.264156e-02;1.951438e-02;1.428776e-03;1.446979e+01;1.658374e+01;1.478421e+01;-6.117447e+00;0;0;0;0;0;0;8.528520e+02;1.228169e+03;-201;1.761028e+03;-201;2.615247e+03;-201
'P0060_0126';0.250000;2.154715e-02;-1.280027e+01;2.233592e+01;1.655043e-02;1.562779e-02;1.141633e-03;1.502045e+01;1.623067e+01;1.395342e+01;-3.359944e+00;0;0;0;0;0;0;8.429351e+02;1.273019e+03;-201;1.736864e+03;-201;2.617884e+03;-201
'P0060_0126';0.260000;2.016824e-02;-1.374402e+01;2.231941e+01;1.793314e-02;1.105334e-02;1.098804e-03;1.474635e+01;1.833025e+01;1.720057e+01;-3.182307e+00;0;0;0;0;0;0;8.242899e+02;1.483735e+03;-201;1.700927e+03;-201;2.603123e+03;-201
'P0060_0126';0.270000;1.950113e-02;-1.431078e+01;2.461497e+01;2.542685e-02;1.953399e-02;9.763699e-04;1.433753e+01;1.860887e+01;1.668386e+01;1.546864e+00;0;0;0;0;0;0;9.005142e+02;1.595132e+03;-201;1.608048e+03;-201;2.557876e+03;-201
'P0060_0126';0.280000;1.884319e-02;-1.430211e+01;2.455888e+01;3.952460e-02;2.270741e-02;1.021735e-03;1.304627e+01;1.903987e+01;1.778691e+01;-1.394903e-01;0;0;0;0;0;0;9.130861e+02;1.641387e+03;-201;1.613019e+03;-201;2.557228e+03;-201
'P0060_0126';0.290000;1.831043e-02;-1.420429e+01;2.335164e+01;4.203046e-02;2.152298e-02;1.001655e-03;1.275799e+01;1.959482e+01;1.846330e+01;-6.341324e-02;0;0;0;0;0;0;9.142652e+02;1.493086e+03;-201;1.647815e+03;-201;2.595946e+03;-201
'P0060_0126';0.300000;1.686112e-02;-1.259067e+01;2.040900e+01;2.602085e-02;2.010029e-02;1.045006e-03;1.016375e+01;1.912149e+01;2.046252e+01;-1.249761e+00;0;0;0;0;0;0;8.843008e+02;1.431584e+03;-201;1.711157e+03;-201;2.613109e+03;-201
'P0060_0126';0.310000;1.597015e-02;-1.106364e+01;1.791801e+01;2.410609e-02;2.249686e-02;1.067057e-03;9.282039e+00;1.863695e+01;1.793076e+01;1.705774e+00;0;0;0;0;0;0;9.070887e+02;1.460468e+03;-201;1.688025e+03;-201;2.588615e+03;-201
'P0060_0126';0.320000;1.476943e-02;-1.039351e+01;1.824362e+01;2.602920e-02;2.791538e-02;9.658865e-04;8.255573e+00;1.854235e+01;1.917886e+01;3.599927e+00;0;0;0;0;0;0;7.600407e+02;1.498251e+03;-201;1.632496e+03;-201;2.522303e+03;-201
'P0060_0126';0.330000;1.483537e-02;-1.156214e+01;1.867908e+01;3.025134e-02;2.123239e-02;8.678855e-04;1.026174e+01;1.988181e+01;1.855518e+01;5.476160e+00;0;0;0;0;0;0;7.063743e+02;1.528448e+03;-201;1.636811e+03;-201;2.524838e+03;-201
'P0060_0126';0.340000;1.486458e-02;-1.198609e+01;1.926050e+01;2.762187e-02;1.703703e-02;7.257230e-04;1.129269e+01;2.082713e+01;1.815745e+01;2.052918e+00;0;0;0;0;0;0;6.765018e+02;1.550720e+03;-201;1.640098e+03;-201;2.502173e+03;-201
