no	start_time	end_time	speaker	value
1	0	0.5916875	<B>	好你说。
2	0.5916875	4.008875	<A>	好现在我们现在给你(一)/一幅图来让看图说话&啊。
3	4.008875	10.1478125	<A>	你就是看一下这个图告诉我你看到了什么，看他们在做什么，你觉得他们在做什么。
4	10.1478125	11.43475	<A>	你把你看到的东西｛都｝告诉我。
5	11.43475	15.7099375	<B>	那么一个水开了要满出来了，一个小孩么下面一个椅子站的不稳要倒下来了，
6	15.7099375	16.138875	<A>	&嗯。
7	16.138875	17.248375	<B>	他拿饼干上去，
8	17.248375	17.7069375	<A>	&嗯。
9	17.7069375	18.7868125	<B>	别的没什么了。
10	18.7868125	20.118125	<A>	&嗯你还看到些什么？
11	20.118125	20.68025	<B>	&啊？
12	20.68025	21.6269375	<B>	你还看到一些什么？
13	21.6269375	24.0678125	<NOISE>	<NOISE>
14	24.0678125	27.3074375	<B>	一个女的在擦盆子这水池里的水要满出来了。
15	27.3074375	27.899125	<A>	&嗯
16	27.899125	29.023375	<NOISE>	<NOISE>
17	29.023375	30.1624375	<B>	这小女孩嘛。
18	30.1624375	30.6210625	<NOISE>	<NOISE>
19	30.6210625	32.070625	<B>	大概拿饼干么给她，
20	32.070625	32.573625	<A>	&嗯
21	32.573625	34.1564375	<B>	小孩子要摔下来了。
22	34.1564375	36.626875	<A>	你觉得他们俩个小孩是什么关系&啊？
23	36.626875	36.9375	<NOISE>	<NOISE>
24	36.9375	37.4256875	<B>	&啊。
25	37.4256875	39.5558125	<A>	你觉你(看看)/看看他们。
26	39.5558125	42.322125	<B>	这是要看关系(这)/这人是她小孩咯，
27	42.322125	43.451	<A>	他们两个人？
28	43.451	43.86825	<NOISE>	<NOISE>
29	43.86825	45.4700625	<B>	一个儿子一个女儿呀，
30	45.4700625	46.52	<A>	这妈妈对吧？
31	46.52	47.0853125	<A>	&啊那你还？
32	47.0853125	47.758375	<B>	你按照这样想嘛，
33	47.758375	50.2774375	<A>	他是在哪里(拿)/拿饼干&啊，你还看到什么？
34	50.2774375	51.6231875	<B>	一个吊橱上面这是厨房间，
35	51.6231875	52.505875	<A>	(这个)/这个地方是
36	52.505875	53.034875	<B>	厨房间呀，
37	53.034875	53.7348125	<NOISE>	<NOISE>
38	53.7348125	54.811625	<A>	&噢好的。
39	54.811625	55.552	<NOISE>	<NOISE>
